id,project,Service,Group,Board,Area,RoadID,CarriageWa,Location,ERP,Side,Position,Class,Fault,Repair,Priority,Comment,Size,Length,Width,Total,Easting,Northing,Latitude,Longitude,FaultTime,Inspector,Inspection,Seq,FaultID,PhotoID
ASM_SH_0520_203,TEST,SL1,STATE HIGHWAY,SH 1,10,1986,3032,018-0000-I,839,L,2,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,2x1,2,1,2,1753421.724,5931189.623,-36.752647,174.718678,20/02/2020 11:28,SF,2020_02,203,71,SH1C3_200220_06833
ASM_SH_0520_204,TEST,SL1,STATE HIGHWAY,SH 1,10,1986,3032,018-0000-I,940,L,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,20x3,20,3,60,1753320.282,5931185.007,-36.752705,174.717543,20/02/2020 10:54,SF,2020_02,204,43,SH1C3_200220_03935
ASM_SH_0520_205,TEST,SL1,STATE HIGHWAY,SH 1,10,1986,3032,018-0000-I,1005,L,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,6x3,6,3,18,1753256.236,5931179.164,-36.752768,174.716827,20/02/2020 11:04,SF,2020_02,205,48,SH1C3_200220_04401
ASM_SH_0520_206,TEST,SL1,STATE HIGHWAY,SH 1,10,1986,3042,018-0000-I,1064,R,3,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,10x2,10,2,20,1753189.282,5931200.452,-36.752587,174.716073,20/02/2020 10:55,SF,2020_02,206,45,SH1C3_200220_04018
ASM_SH_0520_207,TEST,SL1,STATE HIGHWAY,SH 1,10,1986,3805,018-0000-I,3440,L,2,BAR,Armco Barrier Damaged,Repair,1,,10,10,,10,1751306.867,5929925.012,-36.764382,174.695247,20/02/2020 11:57,SF,2020_02,207,91,SH1C3_200220_09552
ASM_SH_0520_208,TEST,SL1,STATE HIGHWAY,SH 1,10,3104,3053,018-0002-R2,76,L,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,3,,10x2,10,2,20,1752031.76,5930589.66,-36.758277,174.703233,20/02/2020 11:56,SF,2020_02,208,90,SH1C3_200220_09470
ASM_SH_0520_209,TEST,SL1,STATE HIGHWAY,SH 1,10,3105,3056,018-0002-R3,161,L,1,PVM,Ravelling,Mill and Fill,3,,20x3,20,3,60,1751991.337,5930631.441,-36.757907,174.702772,20/02/2020 11:55,SF,2020_02,209,87,SH1C3_200220_09412
ASM_SH_0520_210,TEST,SL1,STATE HIGHWAY,SH 1,10,3105,3056,018-0002-R3,242,L,2,PVM,Pot Holes,Pothole Repair,1,,1,1,,1,1752030.802,5930701.432,-36.75727,174.7032,20/05/2020 12:00,SF,2020_05,210,2233,C3_IMG200520_120033_013993
ASM_SH_0520_211,TEST,SL1,STATE HIGHWAY,SH 1,10,3102,3049,018-0005-R2,0,R,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,10x3,10,3,30,1750414.229,5929153.395,-36.771477,174.685402,20/02/2020 11:58,SF,2020_02,211,95,SH1C3_200220_09702
ASM_SH_0520_212,TEST,SL1,STATE HIGHWAY,SH 1,10,3102,3049,018-0005-R2,31,L,1,BAR,Armco Barrier Damaged,Repair,3,,4,4,,4,1750425.921,5929183.597,-36.771203,174.685527,20/02/2020 11:58,SF,2020_02,212,96,SH1C3_200220_09716
